Order,Symbol,Name,EPS Rating,RS Rating,Industry Name,ROE,P/E,EPS Due Date,Sales % Chg Lst Qtr,EPS % Chg Last Qtr,EPS % Chg 1 Q Ago,EPS % Chg 2 Q Ago,Funds % Increase,Market Cap (mil),Comp Rating,A/D Rating,SMR Rating,Ind Group Rank,Ind Group RS
773,CWST,Casella Waste Sys Cl A,29,59,Pollution Control,6.8,167,2/13/2025,17,-23,-39,-,-1.1,6446.5,50,C,B,108,C+
774,CWT,Calif Water Svc Grp,91,35,Utility-Water Supply,3.8,15,2/27/2025,17,72,312,-,4.8,3038.5,69,C,B,157,D
775,CX,Cemex ADR,55,10,Bldg-Cement/Concrt/Ag,1,38,2/6/2025,-6,75,0,0,10.3,7636.7,34,C-,C,65,B
776,CXM,Sprinklr Cl A,34,6,Computer Sftwr-Enterprse,19.9,18,12/5/2024,11,-22,50,100,-8.8,1809.8,29,D+,B,33,A-
777,CXT,Crane NXT,33,22,Computer Sftwr-Financial,27.4,14,11/6/2024,5,-5,-13,-26,-5.8,3085.4,47,C-,A,7,A+
778,CXW,CoreCivic,84,35,Security/Sfty,4.8,-,11/6/2024,6,27,35,7,-2.6,1503,58,D+,C,52,B+
779,CYBR,CyberArk Software,81,83,Computer Sftwr-Security,7.1,111,11/13/2024,28,1700,-,406,-0.3,11839.4,88,D-,B,121,C
780,CYH,Community Health Systems,32,81,Medical-Hospitals,-,-,2/19/2025,0,-,-,-,4.5,614.2,40,D+,-,78,B
781,CYRX,Cryoport,14,11,Transportation-Logistics,-19.1,-,11/7/2024,1,-,-,-,-6.4,402.7,11,B-,E,58,B+
782,CYTK,Cytokinetics,24,25,Medical-Biomed/Biotech,-,-,11/6/2024,-71,-,-,-,0,6179.5,22,C+,E,34,A-
783,CZR,Caesars Entertainment,3,38,Leisure-Gaming/Equip,-3.7,-,2/25/2025,-4,-,-,-,-16.8,8242.1,19,C-,E,126,C
784,D,Dominion Energy,63,76,Utility-Diversified,7.6,17,2/7/2025,3,25,79,64,2.7,49153.4,68,D-,C,118,C
785,DAKT,Daktronics,9,88,Elec-Misc Products,26.7,14,11/27/2024,-3,-42,-52,13,12.7,632.1,53,C-,B,54,B+
786,DAL,Delta Air Lines,15,93,Transportation-Airline,45.5,10,1/9/2025,1,-26,-12,80,-0.6,37613.4,77,A-,B,29,A
787,DAN,Dana,13,7,Auto/Truck-Original Eqp,7.8,13,2/13/2025,-7,-60,-16,4,-1.9,1164.2,1,E,D,151,D+
788,DANOY,Danone ADR,53,67,Food-Dairy Products,5.2,46,2/19/2025,-5,5,5,-,-15.4,46929.5,-,B-,-,138,C-
789,DAR,Darling Ingredients,34,31,Agricultural Operations,15.4,25,3/4/2025,-13,-86,-68,-56,-2.9,6365.7,29,B,C,168,D
790,DASH,DoorDash,61,92,Retail-Internet,-8.2,-,2/13/2025,25,-,-,-,-2.3,66239,90,A-,C,61,B+
791,DAVA,Endava ADR,41,5,Computer-Tech Services,10.8,17,11/12/2024,2,-61,-62,-46,-14.3,1379.7,7,E,C,95,B-
792,DAVE,Dave,81,98,Computer-Tech Services,-36.3,59,11/12/2024,31,-,-,-,58.8,477.1,78,D+,C,95,B-
793,DAWN,Day One Biopharm,75,54,Medical-Biomed/Biotech,-55.7,-,3/10/2025,-,-,-,-,3.5,1329.6,70,B,-,34,A-
794,DAY,Dayforce,97,87,Computer Sftwr-Enterprse,10.6,41,2/5/2025,17,27,50,39,-1.6,12199,98,A-,A,33,A-
795,DB,Deutsche Bank,87,85,Banks-Money Center,7.5,8,1/30/2025,15,53,-,12,-2.4,36741.3,87,C-,B,98,C+
796,DBI,Designer Brands,8,5,Retail-Apparel/Shoes/Acc,10.9,30,12/11/2024,-3,-51,-62,-,-12.7,281.4,3,C,D,110,C+
797,DBRG,DigitalBridge Group,81,15,Finance-Investment Mgmt,-11.1,42,2/20/2025,-71,-,-,-,-4.7,2190.7,48,C,C,36,A-
798,DBX,Dropbox,98,57,Computer Sftwr-Database,-,12,11/7/2024,2,18,38,25,0.2,8675.6,76,B,-,11,A+
799,DC,Dakota Gold,35,46,Mining-Gold/Silver/Gems,-33.5,-,11/27/2024,-,-,-,-,0,216.4,48,B-,-,14,A+
800,DCGO,DocGo,81,22,Medical-Services,2.4,13,11/7/2024,31,-,-,-13,-3.9,355,51,B,B,140,C-
801,DCI,Donaldson Co,93,62,Pollution Control,29.8,22,12/3/2024,6,21,21,8,2.6,9041,79,C-,A,108,C+
802,DCOM,Dime Community Bncshrs,18,93,Banks-Northeast,9,21,1/24/2025,4,-48,-46,-60,0.8,1180.3,74,A-,C,12,A+
803,DCTH,Delcath Systems,39,98,Medical-Products,-961.4,-,11/8/2024,1454,-,-,-,0,305.2,77,B+,D,68,B
804,DD,DuPont de Nemours,72,74,Chemicals-Basic,6.2,22,2/11/2025,4,28,14,-6,1.2,35766.8,64,D+,C,176,D-
805,DDD,3D Systems,2,25,Machinery-Mtl Hdlg/Autmn,-5.7,-,11/6/2024,-12,-,-,-,-15.8,458.2,14,B,E,85,B-
806,DDL,Dingdong (Cayman) ADR,81,99,Food-Meat Products,11,39,11/6/2024,15,-,-,-80,6.7,854.8,98,A,D,44,A-
807,DDOG,Datadog,99,70,Computer Sftwr-Enterprse,28.9,71,11/7/2024,27,48,91,110,-0.7,42160.9,95,B-,A,33,A-
808,DE,Deere,67,54,Machinery-Farm,48.4,14,11/20/2024,-17,-38,-12,-5,-2.6,109540.8,57,C+,B,166,D
809,DEA,Easterly Govt Properties,61,54,Finance-Property REIT,1.5,-,3/4/2025,4,3,0,0,-5.1,1378.6,54,C,C,67,B
810,DEC,Diversified Energy,5,15,Oil&Gas-U S Expl&Prod,350,4,11/12/2024,-9,-88,-,4500,-3.6,588.6,13,C-,B,134,C-
811,DECK,Deckers Outdoor,99,82,Apparel-Shoes & Rel Mfg,39.2,29,1/30/2025,20,39,88,43,1.4,24864.9,89,B-,A,179,D-
812,DEI,Douglas Emmett,42,90,Finance-Property REIT,-1.8,-,2/11/2025,-2,0,0,-5,-2,3093.7,82,B+,E,67,B
813,DELL,Dell Technologies Cl C,56,93,Computer-Hardware/Perip,-,18,11/26/2024,9,9,-3,22,9.1,93740.2,47,C+,-,169,D-
814,DENN,Denny's,61,21,Retail-Restaurants,-,14,2/18/2025,-2,-18,-13,-15,-7.8,362.4,29,B,-,74,B
815,DEO,Diageo ADR,58,18,Beverages-Alcoholic,37,14,11/27/2024,-2,-11,-11,-1,1.6,69440.3,32,D+,B,180,D-
816,DESP,Despegar.com,80,95,Leisure-Travel Booking,-,14,11/14/2024,12,350,71,575,15.1,1232.6,91,A-,-,17,A
817,DFH,Dream Finders Homes,91,76,Bldg-Resident/Comml,38,11,3/12/2025,12,-7,25,22,-5.4,3036.8,87,C+,A,45,A-
818,DFS,Discover Finl Svcs,94,91,Finance-CrdtCard/PmtPr,20.2,12,1/15/2025,10,42,71,-69,-0.5,38125.1,93,C+,A,69,B
819,DG,Dollar General,30,6,Retail-Discount&Variety,27,13,12/5/2024,4,-20,-29,-38,-3.8,17938.5,4,D-,B,196,E
820,DGX,Quest Diagnostics,51,65,Medical-Services,16.3,17,1/30/2025,8,4,2,0,3.4,17199.9,61,B-,B,140,C-
821,DH,Definitive Healthcare,64,10,Computer Sftwr-Medical,-17.7,-,11/7/2024,5,13,38,-,-8.1,482.5,24,B-,D,139,C-
822,DHC,Diversified Healthcare,7,54,Finance-Property REIT,-11.8,-,2/26/2025,5,-33,-40,-80,1.1,680.8,33,B,D,67,B
823,DHF,BNY Mellon HY Strategies,0,57,Finance-Publ Inv Fd-Bond,-,-,-,-,10,6,6,7.7,187.7,-,A,-,148,D+
824,DHI,DR Horton,76,74,Bldg-Resident/Comml,19.8,12,1/28/2025,-5,-12,5,29,-1.5,56493,74,C-,B,45,A-
825,DHR,Danaher,61,41,Medical-Diversified,11,34,2/4/2025,3,-1,-1,-9,-1.9,180619.3,40,D-,C,160,D
826,DHT,DHT Holdings,31,19,Oil&Gas-Transprt/Pipelne,15.4,10,11/12/2024,-1,-23,26,-42,-5.6,1619.5,36,C+,B,66,B
827,DHY,Credit Suisse High Yld,0,51,Finance-Publ Inv Fd-Bond,-,-,-,-,4,5,-5,0,223.6,-,D+,-,148,D+
828,DIDIY,DiDi Global ADR,81,87,Leisure-Services,2,48,11/27/2024,4,300,-,-,5.1,23539.7,-,A-,-,32,A
829,DIN,Dine Brands Global,39,12,Retail-Restaurants,-,5,11/6/2024,-1,-6,-32,7,-14.2,476.7,12,D+,-,74,B
830,DINO,HF Sinclair,43,11,Oil&Gas-Refining/Mktg,18.8,14,2/20/2025,-19,-87,-70,-65,-5.7,7522.3,13,D-,C,181,D-
831,DIOD,Diodes,31,18,Elec-Semiconductor Mfg,13.7,27,11/7/2024,-32,-79,-82,-71,-5.2,2832.7,15,C,C,172,D-
832,DIS,Disney,81,44,Media-Diversified,8.2,21,11/14/2024,4,35,30,23,-1.1,175246.9,73,B-,B,55,B+
833,DJT,Trump Media & Tech,15,84,Media-Diversified,-,-,-,-6,-,-,-,76.6,6793.4,42,A-,-,55,B+
834,DK,Delek US Holdings,4,7,Oil&Gas-Refining/Mktg,22,-,11/6/2024,-18,-,-,-,-3,1028.1,2,D+,D,181,D-
835,DKILY,Daikin Industries ADR,57,19,Bldg-A/C & Heating Prds,12.8,22,11/6/2024,3,-32,15,-29,0,0,-,C+,-,48,A-
836,DKNG,DraftKings Cl A,80,35,Leisure-Gaming/Equip,-18,192,11/7/2024,26,57,-,-,-6.6,17697.6,51,C-,C,126,C
837,DKS,Dick's Sporting Goods,92,80,Retail-Leisure Products,43.2,14,11/26/2024,8,55,-3,31,3.2,16127.7,68,E,A,162,D
838,DLB,Dolby Laboratories Cl A,78,21,Elec-Misc Products,15.1,20,11/19/2024,-3,29,1,-9,-1,7106.2,59,B,B,54,B+
839,DLO,dLocal,74,11,Finance-CrdtCard/PmtPr,38.9,17,11/13/2024,6,0,-46,40,-0.9,2465.6,46,C+,A,69,B
840,DLR,Digital Realty Trust,16,86,Finance-Property REIT,5.2,-,2/13/2025,2,3,-2,1,-0.9,59267.9,56,B-,C,67,B
841,DLTR,Dollar Tree,41,5,Retail-Discount&Variety,16.1,12,11/19/2024,1,-26,-3,25,-3.9,14355,7,D-,B,196,E
842,DLX,Deluxe Corp,38,22,Office Supplies Mfg,24.1,6,11/6/2024,-6,-8,-5,-23,0.3,844.9,23,C-,C,177,D-
843,DM,Desktop Metal,36,13,Machinery-Mtl Hdlg/Autmn,-21.4,-,11/7/2024,-15,-,-,-,-28.1,161.5,15,C,E,85,B-
844,DNA,Ginkgo Bioworks Holdings,19,2,Medical-Biomed/Biotech,-63,-,11/11/2024,-30,-,-,-,-27.6,444,6,C-,E,34,A-
845,DNB,Dun & Bradstreet,43,62,Comml Svcs-Market Rsrch,12.5,12,2/13/2025,4,0,5,5,-1.4,5311.5,59,B,B,111,C+
846,DNLI,Denali Therapeutics,11,92,Medical-Biomed/Biotech,-14,-,11/6/2024,-,-,-,-,6,3958.5,64,B+,E,34,A-
847,DNN,DenisonMines,5,78,Mining-Metal Ores,16.5,34,11/7/2024,33,-,-,-,0.9,1838.3,56,B+,B,132,C-
848,DNOW,DNOW,21,26,Oil&Gas-Machinery/Equip,11.3,13,11/7/2024,7,0,-16,-12,-3,1293.6,20,D-,C,167,D
849,DNP,DNP Select Income Fund,0,46,Finance-Publ Inv Fd-Bal,-,-,-,-,5,-5,-31,-16.7,3391.4,-,D,-,142,D+
850,DNTH,Dianthus Therapeutics,68,91,Medical-Biomed/Biotech,-70,-,11/7/2024,92,-,-,-,30.6,843.9,82,C,D,34,A-
851,DNUT,Krispy Kreme,35,49,Retail-Restaurants,4,51,11/7/2024,7,-29,-22,-18,-1.2,2070.8,41,B,C,74,B
852,DOC,Healthpeak Properties,85,77,Finance-Property REIT,4.7,-,2/11/2025,26,0,0,8,1.4,15744.4,89,B-,B,67,B
853,DOCN,DigitalOcean,95,80,Computer Sftwr-Enterprse,-,19,2/20/2025,12,18,9,54,-0.2,3300.4,95,B+,A,33,A-
854,DOCS,Doximity,98,96,Computer Sftwr-Medical,21,42,11/7/2024,17,47,25,32,3.6,7786.6,94,C,A,139,C-
855,DOCU,DocuSign,97,93,Computer Sftwr-Enterprse,71.3,22,12/5/2024,7,35,14,17,-1.1,14664.7,96,A-,A,33,A-
856,DOLE,Dole,88,87,Food-Misc Preparation,9.8,12,11/13/2024,-1,-4,26,-11,4.7,1555.9,87,A+,C,128,C-
857,DOMO,Domo Cl B,2,25,Computer Sftwr-Enterprse,-,-,11/29/2024,-2,-,-,-,-1.3,319.1,21,B,-,33,A-
858,DOUG,Douglas Elliman,30,59,Finance-Property REIT,-16.3,-,11/7/2024,4,-,-,-,-13.7,190.1,41,B+,E,67,B
859,DOV,Dover Corp,82,78,Machinery-Gen Industrial,23.8,23,2/4/2025,1,6,13,-3,-0.2,26361.3,80,B-,B,84,B-
860,DOW,Dow,31,17,Chemicals-Plastics,8.2,22,1/30/2025,1,-2,-9,-3,-2.9,33534.4,16,D-,D,123,C
861,DOX,Amdocs,75,46,Computer-Tech Services,20.2,14,11/12/2024,1,3,6,8,-5.4,10198.4,65,C+,A,95,B-
862,DOYU,DouYu Intl ADR,4,98,Internet-Content,2.3,-,11/13/2024,-26,-,-,-,2,35.4,61,A,E,60,B+
863,DPZ,Domino's Pizza,84,31,Retail-Restaurants,-,26,2/20/2025,5,0,31,22,-4.3,14779.3,52,B+,-,74,B
864,DQ,Daqo New Energy ADR,4,83,Energy-Solar,11.8,-,3/4/2025,-59,-,-,-86,-10.9,1523,42,B+,D,161,D
865,DRD,DRDGOLD ADR,73,91,Mining-Gold/Silver/Gems,20.5,14,2/12/2025,19,0,0,6,2.3,1023.7,96,A,A,14,A+
866,DRH,Diamondrock Hospitality,16,44,Finance-Property REIT,5.3,-,11/7/2024,6,6,-6,-22,-3,1813.5,35,D+,C,67,B
867,DRI,Darden Restaurants,70,54,Retail-Restaurants,48.3,18,12/13/2024,1,-2,3,12,-2.8,18962.2,76,B+,A,74,B
868,DRS,Leonardo DRS,95,93,Aerospace/Defense,8.7,38,2/25/2025,16,20,20,100,3.4,8712.7,95,B-,B,43,A-
869,DRUG,Bright Minds Biosciences,73,99,Medical-Biomed/Biotech,-86,-,11/27/2024,-,-,-,-,0,251.4,89,A+,-,34,A-
870,DRVN,Driven Brands,98,81,Retail/Whlsle-Auto Parts,11.4,15,2/20/2025,2,44,30,-8,-5.1,2499,79,B-,B,150,D+
871,DSGN,Design Therapeutics,45,97,Medical-Biomed/Biotech,-22.1,-,11/6/2024,-,-,-,-,11.8,314.8,81,A,-,34,A-
872,DSL,DoubleLine Incm Solns,0,41,Finance-Publ Inv Fd-Eqt,-,-,-,-,9,4,6,0,1314.2,-,E,-,120,C
873,DSX,Diana Shipping,5,12,Transportation-Ship,9.2,25,11/13/2024,-17,-,-94,-78,3.2,280.2,5,D+,C,112,C+
874,DSY,Big Tree Cloud Holdings,11,97,Cosmetics/Personal Care,201.5,-,-,-,-,0,0,0,16.8,44,B,B,173,D-
875,DT,Dynatrace,92,77,Computer Sftwr-Enterprse,19.8,43,11/7/2024,20,22,-3,28,-3,16316.3,96,B,A,33,A-
876,DTE,DTE Energy,90,65,Utility-Diversified,11,17,2/6/2025,1,54,44,26,-2.4,25562.4,70,C+,C,118,C
877,DTEGY,Deutsche Telekom ADR,92,85,Telecom Svcs- Foreign,15,17,11/14/2024,2,32,17,52,0,153233.9,-,A-,-,104,C+
878,DTM,DT Midstream,72,94,Oil&Gas-Transprt/Pipelne,9.4,22,2/14/2025,6,-4,5,18,7.8,8960.7,89,A-,A,66,B
879,DTSS,Datasea,19,20,Computer-Networking,-,-,11/11/2024,27,-,-,-,0,12.5,23,B+,-,25,A
880,DUK,Duke Energy,88,65,Utility-Diversified,9,19,11/7/2024,9,25,20,36,0.9,88092.7,74,B-,B,118,C
881,DUOL,Duolingo,81,96,Computer Sftwr-Edu/Media,2.7,215,11/6/2024,41,538,-,-,3.2,13192,99,A-,B,5,A+
882,DV,DoubleVerify,51,8,Comp Sftwr-Spec Enterprs,7.3,52,11/6/2024,17,-43,-43,90,-8.2,3123.7,40,C+,B,86,B-
883,DVA,DaVita,72,86,Medical-Outpnt/Hm Care,85.5,16,2/18/2025,5,-12,50,43,1.1,12060.6,68,D-,B,117,C
884,DVAX,Dynavax Technologies,71,46,Medical-Biomed/Biotech,-1.1,100,11/7/2024,22,167,-,-98,-2.6,1573.8,67,B-,E,34,A-
885,DVN,Devon Energy,88,16,Oil&Gas-U S Expl&Prod,31.6,8,2/18/2025,5,-33,19,-21,-1,24634.7,43,D+,B,134,C-
886,DX,Dynex Capital,54,44,Finance-Mortgage REIT,-5.1,-,1/30/2025,-,-,-,-,-0.5,976.2,43,E,D,149,D+
887,DXC,DXC Technology,51,46,Computer-Tech Services,19.7,6,11/7/2024,-6,17,-5,-8,-2.9,3755.5,50,B,C,95,B-
888,DXCM,DexCom,85,9,Medical-Products,29.2,41,2/6/2025,2,-10,26,88,-6.6,26951.1,41,D,B,68,B
889,DXLG,Destination XL Group,16,12,Retail-Apparel/Shoes/Acc,22.8,10,11/22/2024,-11,-83,-45,-17,-2.2,163.1,13,B-,C,110,C+
890,DXYZ,Destiny Tech100,0,72,Finance-Publ Inv Fd-Eqt,-,-,-,-,-,-,-,0,0,-,C+,-,120,C
891,DY,Dycom Industries,94,92,Telecom-Infrastructure,22.5,23,11/20/2024,16,21,17,-5,4.1,5364.2,98,D+,B,2,A+
892,DYN,Dyne Therapeutics,27,90,Medical-Biomed/Biotech,-137.3,-,11/6/2024,-,-,-,-,7.9,2873.4,51,D+,-,34,A-
893,E,ENI ADR,60,25,Oil&Gas-Integrated,15.3,8,2/14/2025,-2,-23,-19,-44,1.5,50111.9,37,C+,C,165,D
894,EA,Electronic Arts,79,67,Computer Sftwr-Gaming,25.4,22,2/4/2025,6,47,-54,-23,-0.8,41082.9,81,B+,B,80,B
895,EADSY,Airbus ADR,69,38,Aerospace/Defense,28.8,29,2/13/2025,11,32,-55,-20,-20,123048,-,C+,-,43,A-
896,EARN,Ellington Credit,78,38,Finance-Mortgage REIT,10.5,6,11/12/2024,40,112,29,-69,14.6,164.9,61,E,A,149,D+
897,EAT,Brinker International,91,98,Retail-Restaurants,-,23,1/29/2025,12,239,16,1,1.1,4879.1,92,A-,-,74,B
898,EB,Eventbrite,71,6,Computer Sftwr-Edu/Media,-14.8,-,11/7/2024,7,-,-,-,-7.8,325.8,45,B+,D,5,A+
899,EBAY,eBay,92,86,Retail-Internet,39.1,13,2/19/2025,3,16,15,13,0.1,29463.3,92,C+,A,61,B+
900,EBC,Eastern Bankshares,50,82,Banks-Northeast,6,21,1/23/2025,30,-22,-12,-30,5.1,3573.3,86,B-,B,12,A+
901,EBR,Centrais Eletricas ADR,16,16,Utility-Electric Power,4.2,16,11/6/2024,-22,-13,-40,-,0,12476.5,22,D-,C,23,A
902,EBS,Emergent Biosoltns,22,99,Medical-Biomed/Biotech,-51.1,-,11/6/2024,-25,-,-,-,-15.4,474,57,B-,D,34,A-
903,EC,Ecopetrol ADR,55,9,Oil&Gas-Integrated,2.4,4,11/13/2024,-4,-17,-14,-23,-1.1,15542.1,9,E,C,165,D
904,ECAT,BlackRock ESG Cap Alloc,0,46,Finance-Publ Inv Fd-Eqt,-,-,-,-,4,8,14,0,1739.3,-,C,-,120,C
905,ECC,Eagle Point Credit,0,25,Finance-Publ Inv Fd-Bond,-,-,11/14/2024,-,-6,9,2,0,826.6,-,D,-,148,D+
906,ECG,Everus Construction Group,30,1,Bldg-Heavy Construction,33,19,-,-6,0,8,16,-,2625.6,36,-,C,9,A+
907,ECL,Ecolab,89,76,Soap & Clng Preparatns,19.5,39,2/18/2025,1,19,35,52,0.6,69898.3,74,D-,B,146,D+
908,ECVT,Ecovyst,23,31,Chemicals-Basic,12.7,15,2/20/2025,3,-26,-59,-33,-7.5,906.1,25,A-,C,176,D-
909,ED,Consolidated Edison,71,46,Utility-Diversified,8.4,19,11/6/2024,9,-3,17,23,-2.4,34552.4,53,C,C,118,C
910,EDD,MS EM Domestic Debt,0,38,Finance-Publ Inv Fd-Glbl,-,-,-,-,-8,-3,-17,5.9,313.6,-,C+,-,129,C-
911,EDIT,Editas Medicine,10,4,Medical-Biomed/Biotech,-43.2,-,2/26/2025,-99,-,-,-,-7.3,257.3,6,D-,D,34,A-
912,EDR,Endeavor Group Holdings,7,67,Leisure-Services,10.8,290,11/7/2024,34,-51,-,-,-7.9,19853.6,60,C,B,32,A
913,EDU,New Oriental Edu ADR,40,12,Consumer Svcs-Education,10.3,22,1/28/2025,30,42,-41,13,-15.9,10193.1,38,C-,A,109,C+
914,EE,Excelerate Energy,83,94,Utility-Gas Distribution,6.6,24,11/6/2024,-58,13,-29,-89,-1.5,2641.5,82,A,D,135,C-
915,EEFT,Euronet Worldwide,83,49,Finance-CrdtCard/PmtPr,29.3,12,2/5/2025,9,11,11,47,1.8,4551.1,72,D,A,69,B
916,EEX,Emerald Holding,21,12,Comml Svcs-Advertising,-,-,2/13/2025,0,-,-,-,0,878.9,10,B-,-,101,C+
917,EFC,Ellington Financial,30,25,Finance-Investment Mgmt,8.9,10,11/6/2024,29,-13,-38,-36,-2.8,1038.8,41,E,B,36,A-
918,EFX,Equifax,62,67,Financial Svcs-Specialty,19.6,39,2/5/2025,9,5,6,5,1.5,33421.2,76,D-,A,13,A+
919,EG,Everest Group,87,21,Insurance-Prop/Cas/Titl,25.7,5,2/5/2025,7,3,11,44,0.4,15345,64,C,A,82,B-
920,EGBN,Eagle Bancorp,23,86,Banks-Northeast,8,13,1/15/2025,2,-21,-29,-,-1.7,786.4,68,B,C,12,A+
921,EGHT,8X8,12,44,Computer Sftwr-Enterprse,57.4,7,1/29/2025,-2,-36,-38,-27,-4.8,352.9,63,B+,B,33,A-
922,EGO,Eldorado Gold,91,80,Mining-Gold/Silver/Gems,3.3,14,2/20/2025,36,106,560,200,0.8,3360.1,99,B,B,14,A+
923,EGP,EastGroup Properties,85,26,Finance-Property REIT,8.8,-,2/11/2025,11,9,8,9,-0.7,8554.5,60,D-,A,67,B
924,EGY,Vaalco Energy,89,46,Oil&Gas-Intl Expl&Prod,13.9,8,11/11/2024,7,83,-14,95,10.7,560.2,58,D,A,191,E
925,EH,EHang Holdings ADR,72,92,Aerospace/Defense,-80.4,-,11/29/2024,917,-,-,-,-1.5,1167.9,89,B+,D,43,A-
926,EHAB,Enhabit,46,11,Medical-Outpnt/Hm Care,1.6,33,11/6/2024,-1,75,-22,-65,-9.8,382.2,19,C,D,117,C
927,EHC,Encompass Health,84,88,Medical-Outpnt/Hm Care,25,24,2/5/2025,12,20,17,27,2.7,10197.3,91,B,A,117,C
928,EIX,Edison International,80,67,Utility-Electric Power,12.5,16,2/20/2025,11,9,21,6,1.1,31734.7,81,D,B,23,A
929,EL,Estee Lauder Cl A,76,5,Cosmetics/Personal Care,17.2,25,2/4/2025,-4,27,814,106,-2.9,23625.2,16,E,B,173,D-
930,ELAN,Elanco Animal Health,67,26,Medical-Supplies,6.5,14,11/7/2024,12,67,-24,-58,-6.3,6263.1,31,D,C,185,E
931,ELDN,Eledon Pharmaceuticals,30,99,Medical-Biomed/Biotech,-211.2,-,11/12/2024,-,-,-,-,7.7,197.9,82,A+,-,34,A-
932,ELF,e.l.f. Beauty,90,8,Cosmetics/Personal Care,34.9,34,11/6/2024,50,0,26,54,-4.1,6040.8,40,D-,A,173,D-
933,ELME,Elme Communities,14,62,Finance-Property REIT,-4.4,-,2/13/2025,8,-4,-4,-4,-3.4,1487.4,48,B-,D,67,B
934,ELP,COPEL ADR,16,17,Utility-Electric Power,9.9,12,11/6/2024,-8,-21,-22,-56,-5.3,4556.4,27,D,B,23,A
935,ELS,Equity Lifestyle Prprts,84,44,Finance-Property REIT,21.9,-,2/3/2025,0,6,3,8,-0.3,13390.6,65,D-,A,67,B
936,ELV,Elevance Health,80,13,Medical-Managed Care,20.8,12,1/22/2025,5,-7,12,12,-0.3,96890.1,33,D,B,178,D-
937,ELVN,Enliven Therapeutics,29,94,Medical-Biomed/Biotech,-84.7,-,11/7/2024,-,-,-,-,5.3,1323.1,71,B,-,34,A-
938,EMBC,Embecta,35,51,Medical-Supplies,-,6,12/17/2024,-5,7,-11,-36,-1.4,863.8,24,B-,-,185,E
939,EMD,Wstrn Asset Emerg Mkts,0,49,Finance-Publ Inv Fd-Glbl,-,-,-,-,12,3,6,14.3,567.5,-,E,-,129,C-
940,EME,EMCOR Group,98,96,Bldg-Maintenance & Svc,28.6,24,2/20/2025,15,61,78,80,3.1,21886.8,99,B+,A,47,A-
941,EMKR,Emcore,19,82,Elec-Misc Products,9.2,-,12/3/2024,-24,-,-,-,-20,19.7,49,B,B,54,B+
942,EMN,Eastman Chemical,80,67,Chemicals-Plastics,14.4,14,1/23/2025,9,54,8,-1,-1.3,11788.8,64,D,C,123,C
943,EMR,Emerson Electric,87,77,Diversified Operations,14.9,21,2/11/2025,13,15,11,25,-2.2,67389.6,82,B-,A,155,D
944,ENB,Enbridge,45,67,Oil&Gas-Transprt/Pipelne,9.5,37,2/7/2025,51,-11,-15,8,0.1,89383,71,B,B,66,B
945,ENFN,Enfusion,76,51,Computer Sftwr-Enterprse,32.2,45,3/20/2025,15,25,25,100,-4.6,1149.3,89,B,A,33,A-
946,ENIC,Enel Chile ADR,53,38,Utility-Electric Power,14.8,5,3/4/2025,20,0,-,-15,1.4,3831.8,60,D+,C,23,A
947,ENLC,EnLink Midstream,8,82,Oil&Gas-Transprt/Pipelne,17.9,51,11/6/2024,1,-42,-75,-58,-1.3,7069.4,60,A-,C,66,B
948,ENOV,Enovis,47,17,Medical-Products,3.8,18,11/6/2024,23,2,14,10,-7.7,2418.9,42,B+,B,68,B
949,ENPH,Enphase Energy,50,19,Energy-Solar,67.8,46,2/11/2025,-31,-36,-71,-74,-3.4,12151.4,29,B,B,161,D
950,ENR,Energizer Holdings,87,54,Consumer Prod-Specialty,131.3,10,11/19/2024,0,46,13,-18,-7.2,2371.4,58,C,B,184,E
951,ENS,EnerSys,80,46,Electrical-Power/Equipmt,20.6,12,11/6/2024,-6,5,14,102,-1.8,3987.8,57,E,C,59,B+
952,ENSG,Ensign Group,94,84,Medical-Long-term Care,20,29,1/30/2025,15,16,14,15,4.6,8787.3,92,C-,A,63,B+
953,ENTG,Entegris,74,22,Elec-Semiconductor Equip,12,37,2/11/2025,-9,13,8,5,-3.5,15568.9,32,D+,C,189,E
954,ENV,Envestnet,83,76,Financial Svcs-Specialty,21.2,27,11/7/2024,11,20,30,44,-10.7,3469.9,94,B,A,13,A+
955,ENVX,Enovix,34,18,Electrical-Power/Equipmt,-45.4,-,2/19/2025,2060,-,-,-,0.4,1611.2,28,D,D,59,B+
956,EOG,EOG Resources,92,31,Oil&Gas-U S Expl&Prod,25.8,10,11/7/2024,8,27,5,-7,-0.8,69431.6,58,D-,B,134,C-
957,EOLS,Evolus,40,92,Medical-Ethical Drugs,-,-,11/6/2024,36,-,-,-,-2.9,1040.4,73,B,D,73,B
958,EOSE,Eos Energy Enterprises,59,99,Electrical-Power/Equipmt,-,-,2/21/2025,25,-,-,-,-19.1,689.1,77,B-,-,59,B+
959,EPAC,Enerpac Tool Group,95,90,Machinery-Tools & Rel,26.3,27,12/17/2024,-1,19,21,3,1.2,2532.5,88,C-,B,75,B
960,EPAM,EPAM Systems,73,12,Computer-Tech Services,19.3,19,11/7/2024,-2,-7,0,-6,-1.1,10944,46,A,B,95,B-
961,EPC,Edgewell Personal Care,85,22,Cosmetics/Personal Care,8.9,12,11/7/2024,0,23,57,-25,2.1,1763.8,40,C-,C,173,D-
